,CITY,COUNTRY
1947-03-14,New York City,USA
1947-04-07,New York City,USA
1947-06-28,Mexico City,Mexico
1947-07-01,Mexico City,Mexico
1947-07-06,Mexico City,Mexico
1947-08-24,Mexico City,Mexico
1947-09-01,Mexico City,Mexico
1947-12-29,San Diego,USA
1948-01-02,"Stockton, CA",USA
1948-01-04,San Francisco,USA
